Part Number,Contract L/I No.,Nomenclature,Qty,LT,Due date,Delivered to Date,Delay as of Today,NTP signed ,LT start,Today
4052T73G01,1,Bracket,5,238,10-Nov-25,0,319,3/17/2025,3/17/2025,9/25/2026
4082T14G01,2,Bracket,2,238,10-Nov-25,0,319,,,
4046T25G06,3,Cooler Oil,1,238,10-Nov-25,0,319,,,
MS51831CA203L,4,Insert,10,238,10-Nov-25,0,319,,,
MS51830CA201L,5,Insert,15,238,10-Nov-25,0,319,,,
J221P150,6,Packing,40,238,10-Nov-25,0,319,,,
J228P904,7,Packing Preformed,60,238,10-Nov-25,0,319,,,
J228P011,8,Packing Preformed,30,238,10-Nov-25,0,319,,,
J221P906,9,Packing Preformed,90,238,10-Nov-25,0,319,,,
J221P912,10,Packing Preformed,60,238,10-Nov-25,0,319,,,
J221P908,11,Packing Preformed,60,238,10-Nov-25,0,319,,,
J221P030,12,Packing Preformed,30,238,10-Nov-25,0,319,,,
J228P014,13,Packing Preformed,10,238,10-Nov-25,0,319,,,
J221P021,14,"Packing,Preformed",30,238,10-Nov-25,0,319,,,
3036T04P01,15,Seal Plain,12,238,10-Nov-25,28.58,0,,,
4091T12P02,16,"Seal,Face,Gg-Stator",10,238,10-Nov-25,0,319,,,
4041T56G02,17,Sleeve,2,245,17-Nov-25,0,312,,,
4042T56P03,18,Clamp Oil,1,259,1-Dec-25,0,298,,,
J228P041,19,"Packing,Preformed",50,259,1-Dec-25,0,298,,,
4088T13P01,20,Hsg Seal,2,266,8-Dec-25,0,291,,,
3036T30P01,21,Retainer Scavenge,1,266,8-Dec-25,0,291,,,
37B201094P102,22,Isolator,5,273,15-Dec-25,0,284,,,
4076T14P01,23,Nut,40,273,15-Dec-25,0,284,,,
4045T61G01,24,Screen Agb,5,273,15-Dec-25,0,284,,,
5056T75G02,25,Brkt Ecu,1,280,22-Dec-25,0,277,,,
4051T70G01,26,Gasket,4,280,22-Dec-25,0,277,,,
AN960C10L,27,Washer,150,287,29-Dec-25,0,270,,,
AN960C416L,28,Washer,60,287,29-Dec-25,0,270,,,
AB-9718BEP-25D3,29,Valve Relf,2,294,5-Jan-26,0,263,,,
5036T73G06,30,Bracket Aft,2,301,12-Jan-26,0,256,,,
4053T72P03,31,Hose Gearbox To Hmu,2,301,12-Jan-26,0,256,,,
MS9404-05,32,Plug Oil Fra,1,301,12-Jan-26,0,256,,,
4068T53G01,33,Screen,3,301,12-Jan-26,0,256,,,
4052T74G01,34,Bracket,15,308,19-Jan-26,0,249,,,
4053T66G01,35,Bracket,2,308,19-Jan-26,0,249,,,
4052T59G02,36,Bracket Lead Ign,2,308,19-Jan-26,0,249,,,
3032T28P02,37,Ferrule,2,308,19-Jan-26,0,249,,,
4051T00G05,38,Supt Cable,1,308,19-Jan-26,0,249,,,
4052T94G03,39,Bracket,5,315,26-Jan-26,0,242,,,
4052T72G02,40,Bracket,2,315,26-Jan-26,0,242,,,
4052T72G01,41,Bracket,2,315,26-Jan-26,0,242,,,
4052T71G01,42,Bracket,1,315,26-Jan-26,0,242,,,
4068T04G01,43,Bracket,2,315,26-Jan-26,0,242,,,
4068T85G02,44,Bracket Cable,2,315,26-Jan-26,0,242,,,
4091T54G01,45,Bracket E3 Connect,2,315,26-Jan-26,0,242,,,
4045T25G03,46,Bracket Manifold,2,315,26-Jan-26,0,242,,,
5035T73G03,47,Bracket Torque Snsr,4,315,26-Jan-26,0,242,,,
4052T86G02,48,Bracket Tube Ai-Valve,2,315,26-Jan-26,0,242,,,
4051T56G01,49,Bracket Tube Ai-Valve,2,315,26-Jan-26,0,242,,,
37B201071P102,50,Ferrule,153,315,26-Jan-26,0,242,,,
AN737TW30,51,Clamp,7,329,9-Feb-26,0,228,,,
4082T50P02,52,Ftg Axis G,6,329,9-Feb-26,0,228,,,
MS51833A201-12,53,Stud,210,336,16-Feb-26,0,221,,,
MS51833A201-8,54,Stud,29,336,16-Feb-26,0,221,,,
6058T52G01,55,Bracket,2,343,23-Feb-26,0,214,,,
5043T28G01,56,Bracket Lower,2,343,23-Feb-26,0,214,,,
4045T07P01,57,Bracket Upper Clamp,2,343,23-Feb-26,0,214,,,
3036T89P01,58,Nut Shank,10,343,23-Feb-26,0,214,,,
4046T76P01,59,Indicator,1,350,2-Mar-26,0,207,,,
4088T59P01,60,Seal Valve,2,364,16-Mar-26,0,193,,,
4042T36P02,61,Coupling V Band,15,371,23-Mar-26,0,186,,,
4053T04P01,62,Seal Anti Icing,10,371,23-Mar-26,0,186,,,
4041T29P07,63,Stud,1,378,30-Mar-26,0,179,,,
3032T53P01,64,Bolt,5,392,13-Apr-26,0,165,,,
J643P10A,65,Bolt 12 Pt,300,392,13-Apr-26,0,165,,,
J643P12A,66,Bolt 12 Pt,200,392,13-Apr-26,0,165,,,
J643P14A,67,Bolt 12 Pt,6,392,13-Apr-26,0,165,,,
J712P026A,68,Bolt Hex,10,392,13-Apr-26,0,165,,,
J643P06A,69,Bolt Machine,139,392,13-Apr-26,0,165,,,
J643P20A,70,Bolt Machine,25,392,13-Apr-26,0,165,,,
3031T90P01,71,Pin,2,392,13-Apr-26,0,165,,,
4052T54P02,72,Lead Ignit,8,399,20-Apr-26,0,158,,,
R1473P005,73,Screw,30,399,20-Apr-26,0,158,,,
R1471P003,74,Screw Oil,10,399,20-Apr-26,0,158,,,
3032T44P02,75,Bolt Machine,30,406,27-Apr-26,0,151,,,
5035T76P11,76,Filtr Fuel,1,406,27-Apr-26,0,151,,,
R1473P006,77,Screw,45,406,27-Apr-26,0,151,,,
4052T93P01,78,Valve Chk,6,406,27-Apr-26,0,151,,,
4068T00G01,79,Bracket Tube,2,413,4-May-26,0,144,,,
5043T13G03,80,Bracket Valve Ai-Valve,5,413,4-May-26,0,144,,,
4082T51G01,81,Brkt Csump,2,413,4-May-26,0,144,,,
6058T12G01,82,Brkt Ignit,1,413,4-May-26,0,144,,,
J221P904,83,Packing Preformed,60,413,4-May-26,0,144,,,
4041T18P02,84,"Ring,Seal,Axis-E",15,413,4-May-26,0,144,,,
4046T89G03,85,Supt Cable,10,413,4-May-26,0,144,,,
5051T21G03,86,Supt Clip Swrl Fra,10,413,4-May-26,0,144,,,
MS51830CA204L,87,Insert,10,420,11-May-26,0,137,,,
