AWB,Carrier,MSN,Invoice,Item_Num,Contract_Num,PN,Exp_tag,NOMENCLATURE,Delivered_Qty,Contract_Qty,Qty_Match ,SN,Unit_Price,Prop_Unit_Price,Unit_Price_Match,Total_Amount,Accepted,Delivered_Date,Due_Date,Delivery_Days,Delay,LD,LD_Bool,Total_LD,DAP_Price,Pickup_Date,Arrival_Date,Delta_Pickup_Arrival,Customs_Release_Date,Delta_Arrival_Customs,Delta_Arrival_Acceptance,Payment
8FP4271,PR0103,692100,30312887,133,15,3036T04P01,9A991.d,"SEAL, PLAIN",4,12,NO,, $28.58 , $28.58 , YES , $114.32 ,YES,3/4/2026,11/10/2025,238,114, $13.03 , YES , $13.03 , $710.00 ,2/10/2026,2/28/2026,18,,,-4,YES
5GH2172,NH0819,697288,30316490,101,1,4052T73G01,9A991.d,"BRACKET,TC HARN",5,5,YES,, $249.26 , $249.26 , YES ," $1,246.30 ",YES,4/10/2026,11/10/2025,238,151, $188.19 , YES , $188.19 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,90,2,4082T14G01,9A991.d,BRACKET ASSY,2,2,YES,, $454.34 , $454.34 , YES , $908.68 ,YES,4/10/2026,11/10/2025,238,151, $137.21 , YES , $137.21 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,106,4,MS51831CA203L,EAR99,INSERT,10,10,YES,, $177.45 , $177.45 , YES ," $1,774.50 ",YES,4/10/2026,11/10/2025,238,151, $267.95 , YES , $267.95 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,130,7,J228P904,EAR99,O-RING,60,60,YES,, $30.66 , $30.66 , YES ," $1,839.60 ",YES,4/10/2026,11/10/2025,238,151, $277.78 , YES , $277.78 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,128,8,J228P011,EAR99,O-RING,30,30,YES,, $38.04 , $38.04 , YES ," $1,141.20 ",YES,4/10/2026,11/10/2025,238,151, $172.32 , YES , $172.32 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,149,9,J221P906,EAR99,"PACKING,PREFORM",90,90,YES,, $8.77 , $8.77 , YES , $789.30 ,YES,4/10/2026,11/10/2025,238,151, $119.18 , YES , $119.18 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,148,10,J221P912,EAR99,"PACKING,PREFORM",60,60,YES,, $12.28 , $12.28 , YES , $736.80 ,YES,4/10/2026,11/10/2025,238,151, $111.26 , YES , $111.26 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,146,12,J221P030,EAR99,"PACKING,PREFORM",30,30,YES,, $13.50 , $13.50 , YES , $405.00 ,YES,4/10/2026,11/10/2025,238,151, $61.16 , YES , $61.16 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,136,13,J228P014,9A991.d,O-RING,10,10,YES,, $22.80 , $22.80 , YES , $228.00 ,YES,4/10/2026,11/10/2025,238,151, $34.43 , YES , $34.43 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,152,14,J221P021,EAR99,"PACKING,PREFORM",30,30,YES,, $4.39 , $4.39 , YES , $131.70 ,YES,4/10/2026,11/10/2025,238,151, $19.89 , YES , $19.89 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,133,15,3036T04P01,9A991.d,"SEAL,PLAIN",8,12,NO,, $28.58 , $28.58 , YES , $228.64 ,YES,4/10/2026,11/10/2025,238,151, $34.52 , YES , $34.52 , $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
5GH2172,NH0819,697288,30316490,61,16,4091T12P02,9A991.d,"SEAL,FACE TYPE",10,10,YES,," $2,067.64 "," $2,067.64 ", YES ," $20,676.40 ",YES,4/10/2026,11/10/2025,238,151," $3,122.14 ", YES ," $3,122.14 ", $35.91 ,3/12/2026,4/6/2026,25,,,-4,YES
