PART NUMBER,Nomenclauture,Qty,PAF Lead Time (Weeks),Unit Price,Extended Price
3048T90G01,"ROTOR&STATOR,GG",1,113,"$ 898,762.41","$ 898,762.41"
6071T26G02,"MODULE,PT",1,84,"$ 886,664.52","$ 886,664.52"
6071T27G01,"MODULE,AC",1,121,"$ 452,503.36","$ 452,503.36"
4046T52G42,HMU,2,71,"$ 406,471.20","$ 812,942.41"
4155T12P09,EDECU,2,99,"$ 226,021.46","$ 452,042.93"
6034T62P18,BLOWER,1,99,"$ 87,944.13","$ 87,944.13"
5066T38G09,AI VALVE,6,74,"$ 87,755.14","$ 526,530.83"
6058T28P01,HARNESS TC,2,99,"$ 68,108.21","$ 136,216.42"
4068T45G02,EXCITER,4,76,"$ 65,195.78","$ 260,783.12"
5034T11P05,PUMP LUBE,2,75,"$ 61,953.96","$ 123,907.92"
4046T25G06,COOLER OIL,1,34,"$ 55,645.02","$ 55,645.02"
3036T53G08,CABLE GREEN,2,71,"$ 51,001.76","$ 102,003.52"
6043T28P05,STATOR ALT,2,69,"$ 48,427.38","$ 96,854.75"
5035T76P11,FILTR FUEL,1,58,"$ 35,504.28","$ 35,504.28"
4046T26G05,HISTORY-RECORDER,1,71,"$ 35,290.24","$ 35,290.24"
6044T83P07,CABLE BLUE,1,99,"$ 31,577.30","$ 31,577.30"
3046T17G02,"VALVE,ODV-ASSY",2,71,"$ 30,201.01","$ 60,402.02"
6039T25G01,SHAFT ACTU,1,108,"$ 22,538.65","$ 22,538.65"
5036T25G01,SHIELD,1,68,"$ 22,521.29","$ 22,521.29"
6071T53G02,DUCT INLET,1,96,"$ 22,105.91","$ 22,105.91"
3033T72G01,SHAFT DRIV,1,68,"$ 21,202.40","$ 21,202.40"
4068T18P02,ROTOR ALTR,5,73,"$ 19,352.22","$ 96,761.12"
4040T79G01,VALVE RLF,2,75,"$ 15,929.91","$ 31,859.83"
6053T10G01,COVER CSMP,1,127,"$ 12,544.66","$ 12,544.66"
6039T48G06,TUBE,1,93,"$ 11,061.87","$ 11,061.87"
5034T70P01,SEAL AXIS B,20,68,"$ 10,302.08","$ 206,041.62"
5051T01G01,TUBE SEAL,1,105,"$ 9,526.47","$ 9,526.47"
4041T33G01,VALVE BPAS,3,75,"$ 9,198.50","$ 27,595.49"
4046T76P01,INDICATOR,1,50,"$ 8,083.20","$ 8,083.20"
4040T60G08,BEARING & BRACKET AF,1,91,"$ 7,830.26","$ 7,830.26"
5035T94G01,TUBE CSUMP,2,86,"$ 6,709.17","$ 13,418.35"
6033T78G02,TUBE CSUMP,1,102,"$ 6,682.38","$ 6,682.38"
AA-9718BEP-251D2A,BOWL FILTR,15,99,"$ 6,639.17","$ 99,587.53"
AB-9718BEP-25D3,VALVE RELF,2,42,"$ 6,420.10","$ 12,840.20"
6064T39P02,CAP&ADAPTR,5,61,"$ 5,913.08","$ 29,565.42"
4041T18P02,"RING,SEAL,AXIS-E",15,59,"$ 5,888.72","$ 88,330.75"
4052T54P02,LEAD IGNIT,8,57,"$ 5,761.95","$ 46,095.57"
4052T54P01,LEAD IGNIT,4,61,"$ 5,283.12","$ 21,132.47"
4040T61G04,BEARING & BRACKET FR,2,64,"$ 5,088.82","$ 10,177.63"
5044T94G01,TUBE AI-VALVE,1,104,"$ 4,869.21","$ 4,869.21"
5034T68P01,"SEAL,AXIS-E,AGB",2,65,"$ 4,844.68","$ 9,689.36"
5051T46G01,TUBE BSUMP DELTA P,2,93,"$ 4,781.53","$ 9,563.06"
5044T67P07,IGNITER PLUG,50,78,"$ 4,428.22","$ 221,411.19"
5044T95G01,TUBE AI-VALVE,2,83,"$ 4,341.17","$ 8,682.34"
5044T97G01,TUBE SEAL,2,106,"$ 4,190.66","$ 8,381.32"
4042T56P03,CLAMP OIL,1,37,"$ 4,172.27","$ 4,172.27"
4068T87P04,"SEAL,FACE",5,61,"$ 4,051.90","$ 20,259.50"
5057T01G01,NOZZL AXIS A,1,71,"$ 3,860.32","$ 3,860.32"
5056T75G02,BRKT ECU,1,40,"$ 3,723.54","$ 3,723.54"
5051T11G02,LUG,1,104,"$ 3,602.39","$ 3,602.39"
6058T12G01,BRKT IGNIT,1,59,"$ 3,497.80","$ 3,497.80"
4053T72P03,HOSE GEARBOX TO HM,2,43,"$ 3,336.00","$ 6,672.01"
4052T93P01,VALVE CHK,6,58,"$ 3,173.91","$ 19,043.47"
5036T73G06,BRACKET AFT,2,43,"$ 2,805.69","$ 5,611.38"
4069T02G01,HOSE P3,15,63,"$ 2,708.17","$ 40,622.52"
6033T79G03,TUBE CSUMP,2,88,"$ 2,684.51","$ 5,369.01"
4053T35G01,TUBE BSUMP,2,92,"$ 2,516.51","$ 5,033.01"
4046T39P01,"SEAL,RING",5,93,"$ 2,390.62","$ 11,953.09"
5043T13G03,BRACKET VALVE AI-VALV,5,59,"$ 2,269.30","$ 11,346.51"
5060T37G01,TUBE DRAIN,1,83,"$ 2,194.37","$ 2,194.37"
4091T12P02,"SEAL,FACE,GG-STATOR",10,34,"$ 2,067.64","$ 20,676.42"
4052T83G01,TUBE OIL LH,2,92,"$ 1,985.39","$ 3,970.77"
5044T55G01,TUBE CSUMP,2,83,"$ 1,980.97","$ 3,961.94"
